30000   1   0
490   0.567146   0.126408   0.963366
491   1.03176   -0.198976   0.592817
492   1.17274   -0.414122   0.119497
493   1.35538   0.32188   0.152781
494   0.24352   1.03525   0.296292
495   0.400527   -0.553828   0.742679
496   1.05098   -0.0136761   0.599673
497   0.36528   0.381925   1.02386
498   0.922813   0.573253   0.44924
499   0.50947   -0.154123   0.610432
500   1.0638   -0.222678   0.452041
501   0.599188   0.396143   0.745793
502   0.333238   0.379893   0.904597
503   0.63123   0.546804   0.823631
504   1.02535   -0.283553   0.61643
505   0.954855   0.0898562   0.760092
506   1.12468   0.484547   0.40433
507   1.43228   -0.016058   0.0746872
508   1.15031   -0.397137   0.428917
509   0.147394   -0.64671   0.406565
510   0.842708   -0.56844   0.321845
511   1.15031   -0.266863   0.465563
512   0.108943   -1.02508   0.514906
513   0.749786   -0.100141   0.248943
514   0.458202   0.0416821   0.699299
515   1.2144   0.106001   0.415142
516   0.445385   -0.438499   0.97577
517   1.30411   -0.302502   0.162368
518   0.919609   0.0217227   0.789616
519   1.19197   -0.149993   0.50159
520   0.961264   0.336151   0.429648
521   1.17595   -0.0294392   0.582211
522   1.23683   0.00956259   0.316498
523   1.00933   -0.381812   0.441768
524   1.16313   0.0672984   0.299695
525   1.06059   -0.382149   0.148011
526   0.560737   -0.530051   0.874819
527   0.922813   -0.157619   0.77784
528   0.253133   0.0512077   1.11446
529   0.621617   -0.163478   0.558762
530   1.15992   -0.10622   0.478523
531   0.836299   -0.762802   0.399
532   0.419752   0.0464331   0.648664
533   1.15992   -0.00784315   0.122876
534   0.339646   0.0854754   1.03887
535   1.00292   0.219456   0.547427
536   1.27848   0.22666   0.347879
537   0.897179   -0.678128   0.451291
538   1.23042   0.07632   0.238048
539   0.44859   -0.397876   0.657018
540   1.07982   0.0682521   0.633011
541   0.829891   0.337038   0.501494
542   0.679293   0.00415021   0.922259
543   0.44859   -0.468082   0.790521
544   0.63123   0.445456   0.197996
545   0.515878   0.0289272   1.02175
546   0.63123   0.61341   0.549737
547   0.890771   0.367774   0.533041
548   0.560737   -0.318765   0.935932
549   0.567146   0.00142218   1.01584
550   0.893975   -0.143908   0.132015
551   1.00612   0.257957   0.505554
552   1.07662   -0.280117   0.505494
553   1.25605   -0.0924799   0.448384
554   0.567146   0.63606   0.796736
555   1.15672   0.0829895   0.424195
556   0.538308   -0.480909   0.820416
557   0.99651   -0.212253   0.65003
558   0.900384   -0.135981   0.359951
559   1.08302   -0.0473061   0.661791
560   1.18876   -0.414107   0.334843
561   1.31373   -0.0856333   0.420611
562   0.435773   0.304582   1.0201
563   1.41626   -0.0497411   0.248859
564   0.201865   -0.656174   0.889363
565   1.15672   -0.180222   0.572651
566   0.378097   0.648091   0.829001
567   0.942038   -0.640916   0.415664
568   1.12788   -0.555981   0.224603
569   0.826687   0.12573   0.540424
570   0.381301   -0.660553   0.758171
571   0.214682   -0.95386   0.60141
572   0.865137   -0.277425   0.698993
573   1.03816   -0.331529   0.60005
574   1.05739   0.221183   0.345919
575   0.640842   -0.355325   0.766446
576   0.185844   -0.327103   0.902352
577   0.932426   0.0832408   0.741899
578   1.29771   0.171485   0.406853
579   0.807461   0.0354651   0.67075
580   0.756194   -0.758211   0.281188
581   1.28489   0.127322   0.388955
582   0.893975   -0.160817   0.802878
583   1.1407   -0.197593   0.553884
584   0.336442   -0.86748   0.626466
585   1.12468   -0.54489   0.31956
586   0.743377   -0.282021   0.65789
587   0.922813   0.348693   0.626707
588   0.535103   0.160182   0.899079
589   0.57035   0.34438   0.860388
590   1.04457   -0.444334   0.489927
591   1.18235   0.117308   0.0928825
592   0.746581   -0.513554   0.706635
593   0.897179   -0.185293   0.711861
594   0.73056   -0.463655   0.765842
595   1.28168   0.033539   0.091306
596   0.970876   0.64929   0.278355
597   1.4451   -0.115198   0.13937
598   0.551125   -0.760345   0.356322
599   1.0638   -0.128282   0.654643
600   1.08943   -0.608549   0.243185
601   1.1375   -0.00306611   0.438005
602   0.592779   -0.109801   0.924808
603   0.887567   0.655719   0.356057
604   0.26595   -0.253201   1.08128
605   1.28809   0.151803   0.432182
606   1.19197   0.427083   0.0617761
607   0.435773   0.372758   0.66279
608   0.346055   -0.00971775   0.971726
609   0.826687   0.0363487   0.291349
610   0.87475   -0.220368   0.602899
