1000   0.7   -0.7
132   1.33753   0.331886   0.00293446
133   1.21594   0.474837   0.00885883
134   1.45153   -0.0427133   0.0270913
135   0.243187   -1.03577   0.263559
136   1.21594   -0.311576   0.224305
137   1.21594   -0.386034   0.236201
138   1.21594   0.371863   0.000717719
139   0.243187   0.120479   0.974743
140   1.42873   0.00698049   0.0218795
141   0.243187   0.476064   0.0197228
142   0.97275   -0.59041   0.21177
143   1.39833   0.12962   0.154736
144   0.97275   0.541418   0.402224
145   1.33753   0.314306   0.108737
146   1.33753   0.0484776   0.326733
147   0.243187   -0.349728   0.533226
148   1.33753   -0.232475   0.211006
149   0.97275   -0.0232299   0.578964
150   0.97275   0.476829   0.472946
151   0.486375   -0.324941   0.897273
152   0.97275   -0.358216   0.565509
153   0.97275   0.185993   0.648682
154   0.97275   0.49482   0.0716574
155   1.21594   0.106261   0.0832696
156   0.97275   0.587608   0.331595
157   1.39833   -0.225816   0.018956
158   1.33753   0.211746   0.135867
159   0.486375   0.849287   0.429738
160   1.33753   0.332444   0.00518382
161   0.97275   0.210632   0.190884
162   1.21594   0.297918   0.129053
163   1.33753   -0.332585   0.000156834
164   0.486375   0.820316   0.449776
165   1.44393   -0.0867691   0.0302661
166   0.97275   -0.19437   0.297688
167   0.486375   -0.941477   0.167737
168   0.97275   0.65081   0.172491
169   0.486375   -0.288908   0.264991
170   1.33753   -0.300804   0.141879
171   0.243187   0.0579336   1.05346
172   1.42873   0.146652   0.046789
173   0.486375   -0.41826   0.682858
174   1.21594   0.464157   0.0308436
175   1.21594   0.0147636   0.47119
176   1.21594   -0.132262   0.455106
177   0.486375   0.0354436   0.936455
178   0.97275   -0.480532   0.463582
179   1.39833   -0.0761201   0.203456
180   0.243187   0.50791   0.941342
181   1.42873   0.080759   0.128212
182   0.243187   0.51337   0.327563
183   0.97275   -0.226507   0.618299
184   1.33753   -0.0045605   0.286597
185   0.486375   -0.223553   0.00966359
186   0.97275   0.543769   0.157766
187   0.97275   -0.673214   0.0452528
188   0.97275   0.242037   0.204838
189   0.97275   0.103507   0.66454
190   0.486375   -0.936111   0.116636
191   1.42873   0.12833   0.0890957
192   1.33753   0.0972887   0.306954
193   0.97275   -0.0892706   0.135434
194   1.21594   -0.470386   0.0654594
195   0.486375   -0.838698   0.450508
196   0.97275   0.0147324   0.674673
197   0.97275   0.316254   0.0469047
198   0.97275   0.663365   0.0690559
199   0.97275   -0.571081   0.0339418
200   0.486375   -0.0316065   0.005511
201   1.42873   -0.0100669   0.0136301
202   0.486375   -0.210513   0.348602
203   0.97275   0.00694446   0.674445
204   0.97275   0.109858   0.0322316
205   1.39833   -0.206334   0.0766928
206   0.243187   0.729288   0.712236
